ID,Kategori,Model,Segment,Kullanım Amacı,İşlemci,RAM,Depolama,GPU,Ekran,İşletim Sistemi,Fiyat (TL),Batarya (mAh),Kamera (MP),5G,NFC,Su Geçirmezlik,GPS,Kulaklık Tipi,Sürücü Boyutu,Frekans Yanıtı,Gürültü Engelleme,Mikrofon,Bağlantı Türü,Pil Ömrü,Pil Ömrü (gün)
16978,Tablet,Xiaomi Pad 7 Pro Wi-Fi 256GB,Üst Segment,Oyun,Snapdragon 8s Gen 3,8GB,256GB,,11.2 inç IPS 144Hz,Android 15,18040,,,Hayır,Hayır,Yok,,,,,,,,,
16979,Kulaklık,Sennheiser Momentum 4,Üst Segment,Müzik Dinleme,,,,,,,10128,,,,,,,Kulak Üstü Kablosuz,42mm,6Hz-22kHz,Hibrit ANC,4 mikrofon,Bluetooth 5.2,60 saat,
16980,Telefon,iPhone 17 Pro Max 2TB,Amiral Gemisi,Video İçerik Üretimi,Apple A19 Pro,8GB,2TB,,6.9 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,184736,4685,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
16981,Kulaklık,Xiaomi Redmi Buds 6,Giriş Seviyesi,Bütçe Dostu,,,,,,,1486,,,,,,,TWS,12mm,20Hz-20kHz,ANC,2 mikrofon,Bluetooth 5.4,7 saat (kılıfla 35),
16982,Telefon,iPhone 17 512GB,Amiral Gemisi,Fotoğrafçılık,Apple A19,8GB,512GB,,6.3 inç Super Retina XDR OLED 120Hz,iOS 18,98850,3726,48+48MP,Evet,Evet,IP68,,,,,,,,,
16983,Kulaklık,Sony WF-1000XM5,Üst Segment,Müzik Dinleme,,,,,,,10081,,,,,,,TWS,8.4mm,20Hz-20kHz,Hibrit ANC,5 mikrofon,Bluetooth 5.3,8 saat (kılıfla 24),
16984,Telefon,Redmi Note 14 128GB,Orta Segment,Bütçe Dostu,Snapdragon 685,8GB,128GB,,6.67 inç IPS LCD 90Hz,Android 14,9011,5500,108+2+2MP,Hayır,Hayır,IP54,,,,,,,,,
16985,Tablet,Xiaomi Pad 7 Pro Wi-Fi 256GB,Üst Segment,Oyun,Snapdragon 8s Gen 3,8GB,256GB,,11.2 inç IPS 144Hz,Android 15,18322,,,Hayır,Hayır,Yok,,,,,,,,,
16986,Telefon,iPhone 17 256GB,Amiral Gemisi,Fotoğrafçılık,Apple A19,8GB,256GB,,6.3 inç Super Retina XDR OLED 120Hz,iOS 18,85122,3726,48+48MP,Evet,Evet,IP68,,,,,,,,,
16987,Telefon,iPhone 17 Pro 256GB,Amiral Gemisi,Fotoğrafçılık,Apple A19 Pro,8GB,256GB,,6.3 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,121953,3400,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
16988,Kulaklık,Apple AirPods 4,Orta Segment,Günlük Kullanım,,,,,,,6397,,,,,,,TWS,—,20Hz-20kHz,Pasif,2 mikrofon,Bluetooth 5.3,5 saat (kılıfla 30),
16989,Bilgisayar,HP ZBook Studio G10 i9,İş İstasyonu,Mühendislik,Intel Core i9-13900H,64GB,1TB SSD,NVIDIA RTX A2000 8GB,15.6 inç FHD IPS 60Hz,Windows 11 Pro,90315,,,,,,,,,,,,,,
16990,Kulaklık,JBL Live 770NC,Orta Segment,Günlük Kullanım,,,,,,,4512,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,ANC,2 mikrofon,Bluetooth 5.3,40 saat,
16991,Bilgisayar,Asus VivoBook 15 i3,Bütçe,Öğrenci,Intel Core i3-1315U,8GB,512GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,12229,,,,,,,,,,,,,,
16992,Kulaklık,Apple AirPods 4,Orta Segment,Günlük Kullanım,,,,,,,6377,,,,,,,TWS,—,20Hz-20kHz,Pasif,2 mikrofon,Bluetooth 5.3,5 saat (kılıfla 30),
16993,Bilgisayar,Acer Nitro 5 RTX 4060,Oyuncu,Oyun,Intel Core i5-13420H,16GB,512GB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 144Hz,Windows 11 Home,36203,,,,,,,,,,,,,,
16994,Bilgisayar,Lenovo Legion 5 Pro RTX 4070,Oyuncu,Oyun & Akış,AMD Ryzen 7 7745HX,16GB,1TB SSD,NVIDIA RTX 4070 8GB,16 inç QHD IPS 165Hz,Windows 11 Home,58270,,,,,,,,,,,,,,
16995,Akıllı Saat / Bileklik,Garmin Forerunner 965,Premium & Spor,Koşu & Antrenman,Garmin özel,,,,,Garmin OS,22078,,,,,5ATM,Evet,,,,,,,,23
16996,Bilgisayar,Microsoft Surface Laptop 6 i5,Üst Segment,İş,Intel Core Ultra 5 135H,16GB,512GB SSD,Intel Arc Graphics,13.5 inç PixelSense 120Hz,Windows 11 Home,45654,,,,,,,,,,,,,,
16997,Bilgisayar,MacBook Air M4 13 8GB 256GB,Üst Segment,Günlük Kullanım,Apple M4,8GB,256GB SSD,Apple M4 GPU 10-core,13.6 inç Liquid Retina 60Hz,macOS Sequoia,44828,,,,,,,,,,,,,,
16998,Bilgisayar,Acer Swift Go 14 Ryzen 5,Orta Segment,Uzaktan Çalışma,AMD Ryzen 5 7530U,16GB,512GB SSD,AMD Radeon Graphics,14 inç 2K IPS 60Hz,Windows 11 Home,23327,,,,,,,,,,,,,,
16999,Bilgisayar,Huawei MateBook D14 i5,Bütçe,Ofis,Intel Core i5-12450H,16GB,512GB SSD,Intel UHD Graphics,14 inç FHD IPS 60Hz,Windows 11 Home,20023,,,,,,,,,,,,,,
17000,Bilgisayar,LG Gram 14 i5,Üst Segment,Uzaktan Çalışma,Intel Core i5-1340P,16GB,512GB SSD,Intel Iris Xe Graphics,14 inç 2K IPS 60Hz,Windows 11 Home,39984,,,,,,,,,,,,,,
17001,Tablet,Samsung Galaxy Tab S9 FE Wi-Fi 128GB,Orta Segment,Medya Tüketimi,Exynos 1380,6GB,128GB,,10.9 inç TFT IPS 90Hz,Android 14,14067,,,Hayır,Evet,IP68,,,,,,,,,
17002,Kulaklık,Samsung Galaxy Buds 4,Orta Segment,Günlük Kullanım,,,,,,,4039,,,,,,,TWS,10mm,20Hz-20kHz,ANC,3 mikrofon,Bluetooth 5.4,6 saat (kılıfla 26),
17003,Kulaklık,Beyerdynamic DT 990 Pro,Premium & Hi-Fi,Stüdyo Kayıt,,,,,,,5516,,,,,,,Kulak Üstü Kablolu,45mm,5Hz-35kHz,Açık Arka,—,Kablolu 3.5mm/6.35mm,—,
17004,Kulaklık,Sennheiser MTW4,Üst Segment,Müzik Dinleme,,,,,,,7954,,,,,,,TWS,7mm,5Hz-21kHz,Hibrit ANC,5 mikrofon,Bluetooth 5.4,7.5 saat (kılıfla 30),
17005,Akıllı Saat / Bileklik,Garmin Fenix 8 Solar 47mm,Premium & Spor,Outdoor & Doğa,Garmin özel,,,,,Garmin OS,37764,,,,,10ATM,Evet,,,,,,,,16
17006,Kulaklık,Audio-Technica ATH-M50xBT2,Orta Segment,Stüdyo Kayıt,,,,,,,6134,,,,,,,Kulak Üstü Kablosuz,45mm,15Hz-28kHz,Pasif Yalıtım,2 mikrofon,Bluetooth 5.0,50 saat,
17007,Tablet,Huawei MatePad Pro 11 Wi-Fi 256GB,Üst Segment,Dijital Not Alma,Kirin 9000s,8GB,256GB,,11 inç OLED 144Hz,HarmonyOS 4,25047,,,Hayır,Evet,IP54,,,,,,,,,
17008,Telefon,Samsung Galaxy S25 FE 256GB,Üst Segment,Günlük Kullanım,Exynos 2500,8GB,256GB,,6.7 inç Dynamic AMOLED 120Hz,Android 15,32570,4900,50+12+10MP,Evet,Evet,IP68,,,,,,,,,
17009,Telefon,Samsung Galaxy S25 Ultra 512GB,Amiral Gemisi,Video İçerik Üretimi,Snapdragon 8 Elite,12GB,512GB,,6.9 inç Dynamic AMOLED 2X 120Hz,Android 15,80396,5000,200+50+10+12MP,Evet,Evet,IP68,,,,,,,,,
17010,Telefon,Samsung Galaxy S24 Ultra 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Gen 3,12GB,256GB,,6.8 inç Dynamic AMOLED 2X 120Hz,Android 14,67051,5000,200+50+10+12MP,Evet,Evet,IP68,,,,,,,,,
17011,Telefon,iPhone 17 Pro 256GB,Amiral Gemisi,Fotoğrafçılık,Apple A19 Pro,8GB,256GB,,6.3 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,118683,3400,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
17012,Kulaklık,Sennheiser Momentum 4,Üst Segment,Müzik Dinleme,,,,,,,10265,,,,,,,Kulak Üstü Kablosuz,42mm,6Hz-22kHz,Hibrit ANC,4 mikrofon,Bluetooth 5.2,60 saat,
17013,Akıllı Saat / Bileklik,Apple Watch Series 10 46mm GPS,Üst Segment,Fitness & Spor,Apple S10,,,,,watchOS 11,25196,,,,,WR50,Evet,,,,,,,,18
17014,Telefon,Xiaomi 14T Pro 512GB,Üst Segment,Fotoğrafçılık,MediaTek Dimensity 9300+,12GB,512GB,,6.67 inç AMOLED 144Hz,Android 15,30613,5000,50+50+12MP,Evet,Evet,IP68,,,,,,,,,
17015,Telefon,iPhone 16 Pro 128GB,Amiral Gemisi,Fotoğrafçılık,Apple A18 Pro,8GB,128GB,,6.3 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,99650,3582,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
17016,Kulaklık,Bose QuietComfort 45,Üst Segment,Seyahat,,,,,,,11139,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,Hibrit ANC,4 mikrofon,Bluetooth 5.1,24 saat,
17017,Akıllı Saat / Bileklik,Garmin Instinct 3 Solar,Premium & Spor,Outdoor & Doğa,Garmin özel,,,,,Garmin OS,24002,,,,,MIL-STD,Evet,,,,,,,,Sonsuz
17018,Bilgisayar,Asus TUF Gaming F15 RTX 4060,Oyuncu,Oyun,Intel Core i7-13620H,16GB,512GB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 144Hz,Windows 11 Home,41946,,,,,,,,,,,,,,
17019,Telefon,iPhone Air 1TB,Amiral Gemisi,İçerik Üretimi,Apple A19 Pro,8GB,1TB,,6.5 inç Super Retina XDR OLED 120Hz,iOS 18,135396,2830,48MP,Evet,Evet,IP68,,,,,,,,,
17020,Tablet,Apple iPad 10. nesil Wi-Fi 64GB,Orta Segment,Medya Tüketimi,Apple A14 Bionic,4GB,64GB,,10.9 inç IPS 60Hz,iPadOS 18,14941,,,Hayır,Evet,IP68,,,,,,,,,
17021,Bilgisayar,HP ZBook Studio G10 i9,İş İstasyonu,Mühendislik,Intel Core i9-13900H,64GB,1TB SSD,NVIDIA RTX A2000 8GB,15.6 inç FHD IPS 60Hz,Windows 11 Pro,90567,,,,,,,,,,,,,,
17022,Bilgisayar,Lenovo IdeaPad Slim 3 15 i3,Bütçe,Öğrenci,Intel Core i3-1305U,8GB,512GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,14642,,,,,,,,,,,,,,
17023,Telefon,iPhone 17e 256GB,Amiral Gemisi,Günlük Kullanım,Apple A19,8GB,256GB,,6.1 inç Super Retina XDR OLED 60Hz,iOS 18,59306,3279,48MP,Evet,Evet,IP68,,,,,,,,,
17024,Kulaklık,Bose QC Ultra Earbuds,Üst Segment,İş & Video Konferans,,,,,,,10986,,,,,,,TWS,9.3mm,10Hz-16kHz,CustomTune ANC,6 mikrofon,Bluetooth 5.3,6 saat (kılıfla 24),
17025,Akıllı Saat / Bileklik,Xiaomi Smart Band 9,Giriş Seviyesi,Fitness Takibi,—,,,,,RTOS,1191,,,,,5ATM,Hayır,,,,,,,,21
17026,Tablet,Apple iPad mini 7 Wi-Fi 128GB,Üst Segment,e-Kitap & Okuma,Apple A17 Pro,8GB,128GB,,8.3 inç Liquid Retina IPS 60Hz,iPadOS 18,21981,,,Hayır,Evet,IP68,,,,,,,,,
17027,Telefon,POCO F7 Ultra 512GB,Üst Segment,Oyun,Snapdragon 8 Elite,16GB,512GB,,6.67 inç AMOLED 120Hz,Android 15,38768,5300,50+50+8MP,Evet,Evet,IP64,,,,,,,,,
17028,Telefon,OnePlus Nord 4 256GB,Üst Segment,Günlük Kullanım,Snapdragon 7+ Gen 3,12GB,256GB,,6.74 inç AMOLED 120Hz,Android 15,19475,5500,50+8MP,Evet,Evet,IP65,,,,,,,,,
17029,Tablet,Huawei MatePad Pro 11 Wi-Fi 256GB,Üst Segment,Dijital Not Alma,Kirin 9000s,8GB,256GB,,11 inç OLED 144Hz,HarmonyOS 4,24927,,,Hayır,Evet,IP54,,,,,,,,,
17030,Kulaklık,Bose QC Ultra Earbuds,Üst Segment,İş & Video Konferans,,,,,,,10748,,,,,,,TWS,9.3mm,10Hz-16kHz,CustomTune ANC,6 mikrofon,Bluetooth 5.3,6 saat (kılıfla 24),
17031,Tablet,Apple iPad Pro M4 13 Wi-Fi 256GB,Pro,3D Modelleme,Apple M4,16GB,256GB,,13 inç Ultra Retina XDR OLED 120Hz,iPadOS 18,68005,,,Hayır,Evet,IP68,,,,,,,,,
17032,Akıllı Saat / Bileklik,OnePlus Watch 3,Üst Segment,Günlük Kullanım,Snapdragon W5+,,,,,Wear OS 5,9197,,,,,5ATM,Evet,,,,,,,,16
17033,Kulaklık,JBL Tour Pro 3,Üst Segment,İş & Video Konferans,,,,,,,7354,,,,,,,TWS,10mm,20Hz-20kHz,Hibrit ANC,6 mikrofon,Bluetooth 5.3,10 saat (kılıfla 40),
17034,Bilgisayar,HP ZBook Studio G10 i9,İş İstasyonu,Mühendislik,Intel Core i9-13900H,64GB,1TB SSD,NVIDIA RTX A2000 8GB,15.6 inç FHD IPS 60Hz,Windows 11 Pro,90030,,,,,,,,,,,,,,
17035,Tablet,Apple iPad Pro M4 11 5G 256GB,Pro,Profesyonel Tasarım,Apple M4,8GB,256GB,,11 inç Ultra Retina XDR OLED 120Hz,iPadOS 18,58878,,,Evet,Evet,IP68,,,,,,,,,
17036,Telefon,Xiaomi 14T 256GB,Üst Segment,Günlük Kullanım,MediaTek Dimensity 8300 Ultra,12GB,256GB,,6.67 inç AMOLED 144Hz,Android 14,21376,5000,50+12+2MP,Evet,Evet,IP68,,,,,,,,,
17037,Tablet,Samsung Galaxy Tab A9+ Wi-Fi 64GB,Giriş Seviyesi,Uzaktan Eğitim,Snapdragon 695,4GB,64GB,,11 inç TFT IPS 90Hz,Android 13,7928,,,Hayır,Hayır,Yok,,,,,,,,,
17038,Tablet,Samsung Galaxy Tab S9+ Wi-Fi 256GB,Pro,Profesyonel Tasarım,Snapdragon 8 Gen 2,12GB,256GB,,12.4 inç Dynamic AMOLED 2X 120Hz,Android 14,38444,,,Hayır,Evet,IP68,,,,,,,,,
17039,Bilgisayar,HP Envy x360 14 Ryzen 7,Üst Segment,İçerik Üretimi,AMD Ryzen 7 7730U,16GB,512GB SSD,AMD Radeon Graphics,14 inç 2K IPS 90Hz,Windows 11 Home,33164,,,,,,,,,,,,,,
17040,Telefon,iPhone 17 Pro 1TB,Amiral Gemisi,Video İçerik Üretimi,Apple A19 Pro,8GB,1TB,,6.3 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,149795,3400,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
17041,Bilgisayar,Lenovo IdeaPad Slim 3 15 i3,Bütçe,Öğrenci,Intel Core i3-1305U,8GB,512GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,14700,,,,,,,,,,,,,,
17042,Bilgisayar,Dell XPS 13 i7,Üst Segment,Yazılım Geliştirme,Intel Core i7-1360P,16GB,512GB SSD,Intel Iris Xe Graphics,13.4 inç FHD+ OLED 60Hz,Windows 11 Pro,52097,,,,,,,,,,,,,,
17043,Tablet,Samsung Galaxy Tab S9 Ultra Wi-Fi 256GB,Pro,Profesyonel Tasarım,Snapdragon 8 Gen 2,12GB,256GB,,14.6 inç Dynamic AMOLED 2X 120Hz,Android 14,50942,,,Hayır,Evet,IP68,,,,,,,,,
17044,Telefon,iPhone 17 Pro Max 256GB,Amiral Gemisi,Video İçerik Üretimi,Apple A19 Pro,8GB,256GB,,6.9 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,132403,4685,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
17045,Bilgisayar,Lenovo IdeaPad Slim 3 15 i3,Bütçe,Öğrenci,Intel Core i3-1305U,8GB,512GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,14178,,,,,,,,,,,,,,
17046,Telefon,iPhone 16 Pro 256GB,Amiral Gemisi,Fotoğrafçılık,Apple A18 Pro,8GB,256GB,,6.3 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,112746,3582,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
17047,Tablet,Samsung Galaxy Tab S9 FE Wi-Fi 128GB,Orta Segment,Medya Tüketimi,Exynos 1380,6GB,128GB,,10.9 inç TFT IPS 90Hz,Android 14,14284,,,Hayır,Evet,IP68,,,,,,,,,
17048,Telefon,iPhone 17 Pro 512GB,Amiral Gemisi,Video İçerik Üretimi,Apple A19 Pro,8GB,512GB,,6.3 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,134177,3400,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
17049,Bilgisayar,HP Pavilion 15 i5,Orta Segment,Ofis,Intel Core i5-1335U,16GB,512GB SSD,Intel Iris Xe Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,20560,,,,,,,,,,,,,,
17050,Telefon,iPhone 16 Plus 128GB,Amiral Gemisi,Günlük Kullanım,Apple A18,8GB,128GB,,6.7 inç Super Retina XDR OLED 60Hz,iOS 18,80224,4674,48+12MP,Evet,Evet,IP68,,,,,,,,,
17051,Tablet,Apple iPad Pro M4 11 Wi-Fi 256GB,Pro,Profesyonel Tasarım,Apple M4,8GB,256GB,,11 inç Ultra Retina XDR OLED 120Hz,iPadOS 18,48847,,,Hayır,Evet,IP68,,,,,,,,,
17052,Akıllı Saat / Bileklik,Garmin Venu 3,Üst Segment,Sağlık Takibi,Garmin özel,,,,,Garmin OS,18194,,,,,5ATM,Evet,,,,,,,,14
17053,Bilgisayar,Asus ZenBook 14 OLED i7,Üst Segment,Yazılım Geliştirme,Intel Core i7-1355U,16GB,512GB SSD,Intel Iris Xe Graphics,14 inç 2.8K OLED 90Hz,Windows 11 Home,34125,,,,,,,,,,,,,,
17054,Telefon,Samsung Galaxy S25 Ultra 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,12GB,256GB,,6.9 inç Dynamic AMOLED 2X 120Hz,Android 15,73187,5000,200+50+10+12MP,Evet,Evet,IP68,,,,,,,,,
17055,Akıllı Saat / Bileklik,Amazfit Balance 2,Orta Segment,Sağlık Takibi,—,,,,,Zepp OS,5522,,,,,5ATM,Evet,,,,,,,,14
17056,Tablet,Samsung Galaxy Tab S9 Ultra Wi-Fi 256GB,Pro,Profesyonel Tasarım,Snapdragon 8 Gen 2,12GB,256GB,,14.6 inç Dynamic AMOLED 2X 120Hz,Android 14,49822,,,Hayır,Evet,IP68,,,,,,,,,
17057,Telefon,Xiaomi 14T Pro 512GB,Üst Segment,Fotoğrafçılık,MediaTek Dimensity 9300+,12GB,512GB,,6.67 inç AMOLED 144Hz,Android 15,29591,5000,50+50+12MP,Evet,Evet,IP68,,,,,,,,,
17058,Telefon,iPhone 17 Pro Max 1TB,Amiral Gemisi,Video İçerik Üretimi,Apple A19 Pro,8GB,1TB,,6.9 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,159734,4685,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
17059,Telefon,Samsung Galaxy S24 Ultra 512GB,Amiral Gemisi,Video İçerik Üretimi,Snapdragon 8 Gen 3,12GB,512GB,,6.8 inç Dynamic AMOLED 2X 120Hz,Android 14,77197,5000,200+50+10+12MP,Evet,Evet,IP68,,,,,,,,,
17060,Telefon,Samsung Galaxy S25 128GB,Amiral Gemisi,Günlük Kullanım,Snapdragon 8 Elite,12GB,128GB,,6.2 inç Dynamic AMOLED 2X 120Hz,Android 15,46946,4000,50+12+10MP,Evet,Evet,IP68,,,,,,,,,
17061,Kulaklık,Audio-Technica ATH-M50x,Üst Segment,Stüdyo Kayıt,,,,,,,6447,,,,,,,Kulak Üstü Kablolu,45mm,15Hz-28kHz,Pasif Yalıtım,—,Kablolu 3.5mm/6.35mm,—,
17062,Telefon,iPhone Air 1TB,Amiral Gemisi,İçerik Üretimi,Apple A19 Pro,8GB,1TB,,6.5 inç Super Retina XDR OLED 120Hz,iOS 18,135169,2830,48MP,Evet,Evet,IP68,,,,,,,,,
17063,Bilgisayar,HP Envy x360 14 Ryzen 7,Üst Segment,İçerik Üretimi,AMD Ryzen 7 7730U,16GB,512GB SSD,AMD Radeon Graphics,14 inç 2K IPS 90Hz,Windows 11 Home,32673,,,,,,,,,,,,,,
17064,Akıllı Saat / Bileklik,Polar Grit X2 Pro,Premium & Spor,Outdoor & Doğa,—,,,,,Polar OS,18446,,,,,10ATM,Evet,,,,,,,,140
17065,Bilgisayar,Asus ROG Zephyrus G14 RTX 4070,Oyuncu,Oyun,AMD Ryzen 9 7940HS,16GB,1TB SSD,NVIDIA RTX 4070 8GB,14 inç QHD+ IPS 165Hz,Windows 11 Home,57270,,,,,,,,,,,,,,
17066,Bilgisayar,MacBook Pro M5 16GB 14 512GB,İş İstasyonu,Yazılım Geliştirme,Apple M5,16GB,512GB SSD,Apple M5 GPU 10-core,14.2 inç Liquid Retina XDR 120Hz,macOS Sequoia,86563,,,,,,,,,,,,,,
17067,Bilgisayar,HP Envy x360 14 Ryzen 7,Üst Segment,İçerik Üretimi,AMD Ryzen 7 7730U,16GB,512GB SSD,AMD Radeon Graphics,14 inç 2K IPS 90Hz,Windows 11 Home,33725,,,,,,,,,,,,,,
17068,Bilgisayar,Lenovo Legion 5 Pro RTX 4070,Oyuncu,Oyun & Akış,AMD Ryzen 7 7745HX,16GB,1TB SSD,NVIDIA RTX 4070 8GB,16 inç QHD IPS 165Hz,Windows 11 Home,57698,,,,,,,,,,,,,,
17069,Telefon,Samsung Galaxy S25 FE 256GB,Üst Segment,Günlük Kullanım,Exynos 2500,8GB,256GB,,6.7 inç Dynamic AMOLED 120Hz,Android 15,32719,4900,50+12+10MP,Evet,Evet,IP68,,,,,,,,,
17070,Telefon,iPhone 17 Pro 1TB,Amiral Gemisi,Video İçerik Üretimi,Apple A19 Pro,8GB,1TB,,6.3 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,144970,3400,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
17071,Tablet,Apple iPad Air M2 13 Wi-Fi 128GB,Üst Segment,Profesyonel Tasarım,Apple M2,8GB,128GB,,13 inç Liquid Retina IPS 60Hz,iPadOS 18,35288,,,Hayır,Evet,IP68,,,,,,,,,
17072,Bilgisayar,Lenovo IdeaPad Slim 3 15 i3,Bütçe,Öğrenci,Intel Core i3-1305U,8GB,512GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,14552,,,,,,,,,,,,,,
17073,Bilgisayar,Asus ProArt Studiobook 16,İş İstasyonu,3D Modelleme,Intel Core i9-13980HX,64GB,2TB SSD,NVIDIA RTX 4080 12GB,16 inç 3.2K OLED 120Hz,Windows 11 Pro,122626,,,,,,,,,,,,,,
17074,Kulaklık,Sony LinkBuds S,Orta Segment,Spor & Koşu,,,,,,,4940,,,,,,,TWS,5mm,20Hz-20kHz,ANC,3 mikrofon,Bluetooth 5.2,6 saat (kılıfla 20),
17075,Telefon,Moto G86 256GB,Orta Segment,Günlük Kullanım,Snapdragon 695,8GB,256GB,,6.67 inç pOLED 120Hz,Android 15,10957,5000,50+8MP,Evet,Evet,IP52,,,,,,,,,
17076,Bilgisayar,Lenovo Legion 5 RTX 4060,Oyuncu,Oyun,AMD Ryzen 7 7745HX,16GB,1TB SSD,NVIDIA RTX 4060 8GB,15.6 inç FHD IPS 144Hz,Windows 11 Home,41994,,,,,,,,,,,,,,
17077,Telefon,iPhone 17 Pro Max 512GB,Amiral Gemisi,Video İçerik Üretimi,Apple A19 Pro,8GB,512GB,,6.9 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,146981,4685,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
17078,Tablet,Huawei MatePad Pro 11 Wi-Fi 256GB,Üst Segment,Dijital Not Alma,Kirin 9000s,8GB,256GB,,11 inç OLED 144Hz,HarmonyOS 4,24559,,,Hayır,Evet,IP54,,,,,,,,,
17079,Telefon,iPhone 17e 256GB,Amiral Gemisi,Günlük Kullanım,Apple A19,8GB,256GB,,6.1 inç Super Retina XDR OLED 60Hz,iOS 18,60536,3279,48MP,Evet,Evet,IP68,,,,,,,,,
17080,Kulaklık,Jabra Evolve2 85,Premium & Hi-Fi,İş & Video Konferans,,,,,,,14131,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,Hibrit ANC,8 mikrofon,Bluetooth 5.0,37 saat,
17081,Akıllı Saat / Bileklik,Apple Watch Ultra 2 49mm Titanium,Premium & Spor,Outdoor & Doğa,Apple S9,,,,,watchOS 11,48090,,,,,10ATM,Evet,,,,,,,,60
17082,Telefon,iPhone 16 Pro 256GB,Amiral Gemisi,Fotoğrafçılık,Apple A18 Pro,8GB,256GB,,6.3 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,111414,3582,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
17083,Tablet,Apple iPad Pro M4 13 Wi-Fi 256GB,Pro,3D Modelleme,Apple M4,16GB,256GB,,13 inç Ultra Retina XDR OLED 120Hz,iPadOS 18,67321,,,Hayır,Evet,IP68,,,,,,,,,
17084,Bilgisayar,Acer Swift Go 14 Ryzen 5,Orta Segment,Uzaktan Çalışma,AMD Ryzen 5 7530U,16GB,512GB SSD,AMD Radeon Graphics,14 inç 2K IPS 60Hz,Windows 11 Home,23289,,,,,,,,,,,,,,
17085,Kulaklık,Apple AirPods Max 2 USB-C,Premium & Hi-Fi,Müzik Dinleme,,,,,,,26100,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,Aktif ANC,8 mikrofon,Bluetooth 5.3,20 saat,
17086,Telefon,Google Pixel 9 Pro 128GB,Amiral Gemisi,Fotoğrafçılık,Google Tensor G4,16GB,128GB,,6.3 inç LTPO OLED 120Hz,Android 15,54730,4700,50+48+48MP,Evet,Evet,IP68,,,,,,,,,
17087,Bilgisayar,HP Pavilion 15 i3,Bütçe,Ofis,Intel Core i3-1315U,8GB,256GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,13471,,,,,,,,,,,,,,
17088,Bilgisayar,MacBook Air M4 15 16GB 256GB,Üst Segment,Günlük Kullanım,Apple M4,16GB,256GB SSD,Apple M4 GPU 10-core,15.3 inç Liquid Retina 60Hz,macOS Sequoia,54837,,,,,,,,,,,,,,
17089,Akıllı Saat / Bileklik,Amazfit Balance 2,Orta Segment,Sağlık Takibi,—,,,,,Zepp OS,5556,,,,,5ATM,Evet,,,,,,,,14
17090,Telefon,OnePlus 13 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,12GB,256GB,,6.82 inç LTPO AMOLED 120Hz,Android 15,40294,6000,50+50+50MP,Evet,Evet,IP65,,,,,,,,,
17091,Bilgisayar,Samsung Galaxy Book4 Pro i7,Üst Segment,Günlük Kullanım,Intel Core Ultra 7 155H,16GB,512GB SSD,Intel Arc Graphics,14 inç 2.8K AMOLED 120Hz,Windows 11 Home,41080,,,,,,,,,,,,,,
